antecedent,consequent,confidence,lift,support
4920,24852,0.2985687057652386,1.9405436601512078,0.008042180080219062
8277,13176,0.27941089768533256,2.26845812022761,0.007748536195042323
8277,24852,0.20554907024184324,1.3359636740409657,0.005700222946994336
21903,13176,0.20922514589520466,1.6986398350728973,0.01647152537207427
21903,24852,0.21347427883117692,1.3874734705683347,0.01680604396287138
37646,13176,0.26070932519218337,2.1166253379898663,0.006199221353207814
37646,24852,0.23343922329028977,1.5172353834791457,0.0055507850232462625
27086,24852,0.22490058920848693,1.4617386354481514,0.005067482503991006
39275,21137,0.23890984059938652,2.772074969524704,0.007768156053740101
39275,13176,0.2199225624780007,1.7854891373503976,0.00715078450005003
30391,21137,0.20618492502366362,2.392367213997854,0.005413446012361819
30391,47209,0.21740646639764857,3.123048224921087,0.005708070890473447
30391,13176,0.268196084292333,2.177408219458036,0.007041567286632401
16797,24852,0.29050326562533024,1.8881224303719064,0.013482766897112808
45007,13176,0.21628853762495462,1.755985516499198,0.007400610700801733
27966,21137,0.24772669080800322,2.8743770333996643,0.011073121251380748
27966,13176,0.29630198617359815,2.4055920944501934,0.013244385613934808
21137,13176,0.23382644756661594,1.8983708513181219,0.02015221086377736
21137,24852,0.21306480803451167,1.3848121201215449,0.018362879750540035
5876,47209,0.24270879742280407,3.486516714629875,0.006947391964883069
5876,13176,0.2556975907330615,2.07593648217071,0.007319188287205956
26209,24852,0.2264124052220512,1.4715646651819707,0.010389369175763196
45066,24852,0.3568978730354159,2.319653371123537,0.009289349098107795
27845,24852,0.231096211573435,1.5020070074135792,0.010346532484273049
28204,24852,0.3796161674905496,2.467310648738634,0.011099281062977785
31717,26209,0.2530651644599404,5.514973199427197,0.00574371363377441
42265,13176,0.20501011155326504,1.6644191623674993,0.0051381139953030055
42265,24852,0.21859221084219455,1.4207374072277725,0.005478518543709448
40706,24852,0.22245724946821785,1.4458581786185505,0.006121395913706629
17794,24852,0.21237828979080306,1.380350103173076,0.005042630682973821
22935,13176,0.21718073353954928,1.7632290030062112,0.008035640127319802
9076,24852,0.2921098416228723,1.8985643514653805,0.005325483645866783
47209,13176,0.2928361055395585,2.377453588997621,0.02038536018463595
30489,24852,0.2557296932928884,1.6621120212850682,0.0059546271147755195
4605,24852,0.2896987778674951,1.882893672005771,0.006921886148575958
24964,22935,0.20150813865381279,5.446197773122668,0.007217819017267438
47766,24852,0.3028592820315026,1.9684302082425558,0.0174600392527973
44632,24852,0.20912859772977124,1.3592287692733422,0.0051629658163201905
28985,24852,0.2292681477961269,1.4901255291979867,0.005048189642938191
19057,13176,0.3115864717806465,2.5296825138863674,0.0076399729769146205
44359,13176,0.22807094952347334,1.851643589138733,0.005070752480440636
47626,24852,0.2684775327387598,1.7449664482214338,0.013367663726085844
49683,24852,0.3305731500077244,2.1485561550047443,0.010495643410376159
